contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,retrieved_date,expiration
SPY250411C00580000,2025-04-11 15:50:08+00:00,580.0,0.01,0.01,0.02,-0.02,-66.66667,3157.0,11523,0.64062859375,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00581000,2025-04-11 15:50:04+00:00,581.0,0.01,0.01,0.02,-0.02,-66.66667,522.0,4155,0.648441015625,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00582000,2025-04-11 15:29:28+00:00,582.0,0.01,0.0,0.01,-0.02,-66.66667,739.0,2285,0.5937540625000001,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00582500,2025-04-11 15:46:41+00:00,582.5,0.01,0.0,0.01,-0.02,-66.66667,1275.0,1502,0.5937540625000001,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00583000,2025-04-11 15:21:06+00:00,583.0,0.01,0.0,0.02,-0.01,-50.0,66.0,1521,0.64062859375,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00584000,2025-04-11 13:51:58+00:00,584.0,0.01,0.0,0.01,-0.01,-50.0,49.0,1582,0.6250037500000001,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00585000,2025-04-11 15:09:30+00:00,585.0,0.01,0.0,0.01,0.0,0.0,614.0,8599,0.6250037500000001,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00586000,2025-04-11 14:58:45+00:00,586.0,0.01,0.0,0.01,0.0,0.0,1484.0,1395,0.64062859375,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00587000,2025-04-11 14:52:47+00:00,587.0,0.01,0.0,0.01,-0.02,-66.66667,981.0,1411,0.6562534375000001,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00587500,2025-04-11 15:05:27+00:00,587.5,0.01,0.0,0.01,-0.02,-66.66667,265.0,2366,0.6562534375000001,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00588000,2025-04-11 14:21:51+00:00,588.0,0.01,0.0,0.01,-0.02,-66.66667,635.0,3463,0.6562534375000001,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00589000,2025-04-11 14:12:01+00:00,589.0,0.01,0.0,0.01,-0.01,-50.0,692.0,2549,0.6562534375000001,False,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00590000,2025-04-11 15:22:20+00:00,590.0,0.01,0.0,0.01,-0.01,-50.0,117.0,6573,0.6718782812500002,False,REGULAR,USD,call,2025-04-11,2025-04-11
